type,content,aspect,title,TH1_aspect,TH1_title,TH2_aspect,TH2_title,TH3_aspect,TH3_title
3,"hàng ok ,giao hàng hơi lau",ship,5,"2,4",4.0,"2,4",4.0,"2,4",4.0
22,Rất tốt khi mua sản phẩm trả góp quá hạn mức,quality,4,2,5.0,2,5.0,2,5.0
4,"Xấu, âm thanh kém. Ko đẹp như hình ảnh đã chụp.",quality,1,2,1.0,2,1.0,2,1.0
11,"Hàng theo mọi người đánh giá đúng là may đẹp, nhưng chất liệu sản phẩm không như quảng cáo ( 95% cotton + 5% spandex ), tức là có sự co dãn nhẹ.nhưng hàng nhận được không có chút co dãn nhẹ nào ( thất vọng ). Hy vọng nhà bán hàng nên trung thực để tạo sự tin tưởng cho khách hàng. Thu gọn","quality, price, cskh",3,2,2.0,2,1.0,2,1.0
25,Ít bọt nhưng sạch,quality,5,2,4.0,2,5.0,2,5.0
20,Hàng đẹp đóng gói cẩn thận giao nhanh hộp đẹp vòng cũng thơm nữa sẽ ủng hộ shop tiếp shop trả lời tin nhắn cũng rất nhanh Còn có thẻ bảo hành đầy đủ nữa Mọi người nên mua nha rất đáng tiền Thu gọn,"ship, quality, price",5,"1,2,3,4",5.0,"1,2,4",5.0,"1,2,3,4",5.0
18,Hàng xịn đáng giá tiền,"quality, price",5,"2,3",5.0,"2,3",5.0,"2,3",5.0
18,"Giao lẹ nhưng do mình ko coi size, 58 mới vừa k","ship, quality",5,4,4.0,4,5.0,4,5.0
21,"Chất lượng tốt, đẹp như mô tả",quality,5,2,5.0,2,5.0,2,5.0
11,giá này mắc gấp đôi của nhà bán khác,price,3,3,1.0,3,1.0,3,1.0
21,"Túi vừa khít laptop Asus gaming của mình luôn. Chống ổn nhưng hạn chế để rớt. Tiki gói hàng kỹ quá, ngồi bóc mỏi tay =)",quality,5,"2,4",5.0,"2,4",5.0,"2,4",5.0
10,áo co giãn tốt,quality,5,2,5.0,2,5.0,2,5.0
14,chất lượng tốt giao hàng nhang,"ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
19,ngon lắm. giá hoẹp lý nữa,price,5,2,5.0,"2,3",5.0,2,5.0
3,"mình nghĩ nên xem lại khâu đóng gói , hộp bị móp nhiều","ship, quality",4,4,2.0,4,1.0,4,1.0
23,sp đẹp như hình,quality,4,2,5.0,2,5.0,2,5.0
16,"Form giày không giống các đợt trước, cũng size 39 mà bề ngang bị nhỏ so với bàn chân",quality,2,2,5.0,2,2.0,2,2.0
11,"mua lần 2, sản phẩm ưng nhé, giá phù hợp. ưng nhất tiki giao siêu nhanh mà phí ship cực rẻ, vẫn luôn ủng hộ mua hàng trên tiki","ship, price",5,"2,3,4",5.0,"2,3,4",5.0,"2,3,4",5.0
21,Túi đẹp hơn mình tưởng mỗi dặt 14inch lại gửi 15inch hơi buồn chút xíu,quality,5,2,3.0,2,4.0,2,4.0
7,"xe chính hãng, nhân viên tư vấn tận tình, có điều chi nhánh DT6 chỗ cộng hoà công an hay đứng rình, ai mua xe chạy về nhớ cẩn thận","quality, cskh",5,"1,2",5.0,"1,2",5.0,"1,2",5.0
10,"Băng chắc chắn, nên mang giày rộng hơn nữa size đến 1 size khi mang băng",quality,5,2,5.0,2,5.0,2,5.0
5,"Tuy chưa dùng, mới chỉ * nhưng rất hài lòng.Xứng đáng hàng chất lượng. Giao hàng sau khi đặt vài giờ,hàng đóng gói cẩn thận.Rất cảm ơn cho hàng và Shop 5*","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
4,"chán, hôm thì nghe đc 1 bên, hôm thì 2 bên nhưng bên kia nhỏ xíu. Mới xài đc ngày thứ 2 mà đã vậy, giờ mới rảnh để lên rate :)",quality,2,2,1.0,2,1.0,2,1.0
18,"Tròng kính khá nhỏ, có một vài đốm trên tròng kính lau chùi không ra, có lẽ là bám ở lớp giữa, thank shop cung cấp sản phẩm đẹp, mong shop sẽ đem nhiều sản phẩm chất lượng hơn đến với người dùng!",quality,4,2,4.0,2,4.0,2,4.0
19,"Giá cả hợp lý, đóng gói kỹ, sạch","ship, price",5,"2,3,4",5.0,"2,3,4",5.0,"2,3,4",5.0
6,"tiki gói hàng đẹp,giao hàng nhanh, chất lượng cũng tạm ok.?","ship, quality",4,"2,4",4.0,"2,4",4.0,"2,4",4.0
14,"Hơi nhỏ so với size , chất lượng tốt",quality,5,2,5.0,2,5.0,2,5.0
14,"Da sờ mềm. Cảm giác rất thích . Hàng đúng mẫu, nhìn chắc chắn. Giao hàng nhanh . Sử dụng 1 thời gian sẽ đáng giá thêm","ship, quality, price",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
25,"Mua tiki thích thật, giao nhanh như gió :)) sản phẩm hữu cơ xịn xò. Tay mình dị ứng nhạy cảm lắm nên cần những sản phẩm như này.","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
22,"Hỗ trợ nhanh chóng, rất tốt","quality, cskh",5,1,5.0,1,5.0,1,5.0
15,Rất đẹp và chắc chân,quality,5,2,5.0,2,5.0,2,5.0
1,nhận hàng đủ,ship,5,4,5.0,4,5.0,4,5.0
18,Rất nhỏ. Xài cho móng tay thì đc. Hoa văn cũng bình thường.,quality,3,2,4.0,2,3.0,2,3.0
17,đế ok tốt bền,quality,5,2,5.0,2,5.0,2,5.0
24,sản phẩm đúng như quảng cáo. nhỏ gọn dễ xài .!,quality,5,2,5.0,2,5.0,2,5.0
18,"Đeo thoải mái, chất lượng tốt",quality,5,2,5.0,2,5.0,2,5.0
4,"Âm thanh tốt, sử dụng thấy ok nha, hình ảnh nhận asa nhưng vẫn có sợi dây ngay cái tô hehe",quality,5,2,5.0,2,5.0,2,5.0
7,"xe đẹp, giao xe nhanh","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
5,"Ok ạ, đóng gói kĩ càng",ship,5,4,5.0,4,5.0,4,5.0
17,"Giao hàng nhanh hơn dự kiến . Đã sử dụng nhận thấy chất lượng tốt , giá rẻ","ship, quality, price",5,"2,3,4",5.0,"2,3,4",5.0,"2,3,4",5.0
0,"Chất lượng giấy tốt, nội dung thì mới đọc chưa đánh giá được. 5 sao cho giao hàng nhanh và sự tận tâm của shop. Mình rất ấn tượng với thư ngỏ và lời cảm ơn của các bạn. Xin cảm ơn!","ship, quality, price",5,"1,2,4",5.0,"1,2,4",5.0,"1,2,4",5.0
21,Shop giao sai nhưng mà đúng màu nên bỏ qua. Chất lượng tạm ổn.,"ship, quality",5,"2,4",5.0,"2,4",3.0,"2,4",3.0
0,giao hàng nhanh sách đóng gói kĩ càng thấy nội dung rất hay mọi người nên mua đọc thử,"ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
6,Dịch vụ của Tiki không có gì để phàn nàn cả. Giấy thấm dầu loại này mỏng và không thấm được nhiều dầu cho lắm. Thấy rẻ với lại nhiều đánh giá tốt nên mua về dùng thử nhưng thấy cũng bình thường chứ không tốt như mọi người nói. Thu gọn,"quality, price, cskh",3,"1,2,3",3.0,"2,3,4",3.0,"1,2,3",3.0
18,"Tiki giao hàng nhanh, sản phẩm dễ sử dụng. Miếng dán lên màu đẹp, và bền nữa","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
2,"Máy không có gì để chê , shop tư vấn nhiệt tình và luôn hỗ trợ người mua",cskh,5,2,5.0,"1,2",5.0,2,5.0
16,Giầu giống hình mang cũng OK,quality,3,2,5.0,2,5.0,2,5.0
13,"USB SanDisk CZ600 - USB 3.0 rất gọn đẹp, chắc chắn và đọc chép rất nhanh.",quality,5,2,5.0,2,5.0,2,5.0
17,hàng giao đúng,ship,5,4,5.0,4,5.0,4,5.0
13,"Shop hỗ trợ nhiệt tình, ups có vấn đề shop đổi hẵn cho sản phẩm khác, tuyệt vời.",cskh,5,1,5.0,1,5.0,1,5.0
2,Máy đẹp.,quality,5,2,5.0,2,5.0,2,5.0
10,"Dùng OK nhé, hài lòng!",quality,5,2,5.0,2,5.0,2,5.0
0,"giải mã tâm lý khá tốt, áp dụng được",quality,5,2,5.0,2,5.0,2,5.0
18,"Chuột Logitech ABC là phiên bản nâng cấp của Logitech DEF, sở hữu công nghệ độc quyền XYZ giúp cho các game thủ thao tác chính xác tới từng pixel.",quality,5,2,5.0,2,5.0,2,5.0
8,Chất liệu đep giao hàng nhanh nhẹn,ship,5,"2,4",5.0,"2,4",5.0,"2,4",5.0
14,nhận được hàng rồi giống như hình còn chất lượng chưa biết để thời gian sử dụng mới biết như vẫn cho nắm sao,quality,5,4,5.0,4,5.0,4,5.0
25,Tốt sẽ giới thiệu dùng lại,quality,5,2,5.0,2,5.0,2,5.0
9,"Thái độ người giao hàng dễ thương, hàng đúng như bài đăng.","ship, quality, cskh",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
2,Máy rất tốt. Chạy mượt. Màn hình ổn trong tầm giá.,"quality, price",5,"2,3",5.0,"2,3",5.0,"2,3",5.0
16,"Giày đẹp, chất rất ok.",quality,5,2,5.0,2,5.0,2,5.0
16,"Hàng đẹp, chắc chắn Hài lòng",quality,5,2,5.0,2,5.0,2,5.0
16,"Giày đẹp, da mềm, êm chân",quality,5,2,5.0,2,5.0,2,5.0
11,"Đã nhận . màu không giống ảnh nhưng rất đẹp, giao hàng 2h siêu nhanh","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
22,"Sản phẩm tuyệt vời, dễ sử dụng lại đơn giản",quality,5,2,5.0,2,5.0,2,5.0
19,"Sp thì OK, đong gói cẩn thận, giao hàng không đung thời gian, nếu đặt độ tin cậy chắc nhịn ăn, cũng may mua dự phòng","ship, quality",4,"2,4",4.0,"2,4",5.0,"2,4",5.0
16,"Giày đi êm, chắc chắn, đây là lần thứ 2 mình mua rồi",quality,5,2,5.0,2,5.0,2,5.0
5,Ưng cái bụng. Chọn mua đồ điện tử ở Tiki. Giá rẻ yên tâm 808k tặng thớt,price,5,"2,3",5.0,"2,3",5.0,"2,3",5.0
5,"Dễ tự lắp, dễ sử dụng, đóng gói tốt.","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
14,Shop giao hàng sớm. Sp như mô tả. Giá như tôi mạnh dạn chọn số 43 thì sẽ vừa vặn và đẹp hơn!,"ship, quality, price",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
4,Cũng ok,quality,4,2,5.0,2,4.0,2,4.0
6,"giao hàng nhanh, giấy thấm dầu tốt nhưng hơi mỏng. Nhìn chung sử dụng ok","ship, quality",5,"2,4",4.0,"2,4",4.0,"2,4",4.0
2,"Shop giao nhanh. Máy ko bị hư hỏng gì, mới nguyên seal. Hình ảnh rõ nét, chữ ok. Vì ko có ánh sáng xanh nên đọc lâu ko bị mỏi mắt như dthoai. Đem theo tiện, nhẹ. Highly recommend","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
13,"Màn hình đang sử dụng thì tự tắt, rồi tự mở lại, tình trạng này xảy ra rất nhiều lần, nhờ shop hỗ trợ, mình sẽ gửi video cho xem, đang cảm thấy có vẻ màn bị yếu","quality, cskh",5,"1,2",3.0,2,1.0,"1,2",1.0
8,"chất vải đẹp xuất sắc ,sẽ ủng hộ shop tiếp ạ",quality,5,2,5.0,2,5.0,2,5.0
0,"Giao đủ, sách mới","ship, quality",5,"2,4",5.0,2,5.0,"2,4",5.0
12,"Sách be bé xinh xinh, giao quốc tế mà cũng lẹ. Sách nội dung hayy","ship, quality",5,2,5.0,"2,4",5.0,2,5.0
9,Thùng 48 Hộp Sữa Nestlé MILO Nước chất lượng tốt.đáng mua.,quality,4,"2,3",5.0,2,5.0,"2,3",5.0
12,"Sách giao nhanh bọc cẩn thận, mình đã đọc Ebook rồi và các book reviewer đều cho cuốn này vào danh sách must read nên hãy mua đọc ngay k cần suy nghĩ nha",ship,5,"2,4",5.0,"2,4",5.0,"2,4",5.0
25,Sản phẩm dùng ok. Kg bị ăn tay,quality,5,2,5.0,2,5.0,2,5.0
7,Shop hỗ trợ nhiệt tình,cskh,5,1,5.0,1,5.0,1,5.0
18,"Đeo mát mắt, gọng khá chắc chắn",quality,5,2,5.0,2,5.0,2,5.0
21,sp như hình. hài lòng.,quality,5,2,5.0,2,5.0,2,5.0
11,tốt giao hang nha?! /rat OK!? ok!,"ship, quality",5,4,5.0,"2,4",5.0,4,5.0
4,"Dùng ổn ,hơi ngứa tai",quality,4,2,4.0,2,5.0,2,5.0
6,"Sản phẩm thấm dầu tốt, mình còn được tặng mã giảm 20k ngay đợt đang giảm nữa nên còn 6k, quá ok luôn",quality,5,2,5.0,2,5.0,2,5.0
18,"giao hàng nhanh, chất lượng chưa dùng nên chưa biết","ship, quality",5,4,5.0,4,5.0,4,5.0
13,"ok nhìn được nhiều gốc cạnh. vẫn thấy rõ , giao hàng nhanh",ship,5,"2,4",5.0,"2,4",5.0,"2,4",5.0
13,Giao hàng cực nhanh. cảm ơn shop!,ship,5,4,5.0,4,5.0,4,5.0
0,Sách thì chưa đọc nhưng tình trạng đóng gói bên Tiki dạo này tệ thật sự,"ship, quality",3,4,1.0,4,1.0,4,1.0
2,"Máy mới, giao hàng nhanh, chu đáo và rất cẩn thận. Mua đồ điện tử mắc tiền mình đều ưu tiên Tiki. Hy vọng sẽ ổn và dùng được lâu","ship, quality, price",5,"1,2,4",5.0,"1,2,4",5.0,"1,2,4",5.0
11,"Vải đẹp, chất đẹp như hình, cho 5sao",quality,5,2,5.0,2,5.0,2,5.0
15,Chắc chắn. Ok,quality,5,2,5.0,2,5.0,2,5.0
15,"Giá treo cứng cáp chắc chắn, thiết kế thông minh có thể xếp gọn và xoay trái phải đều được.","quality, price",5,2,5.0,2,5.0,2,5.0
0,bị cũ với móc méo nhiều lại không có bọc nên trông cũ kinh khủng mình là khách mới nhưng mà chất lượng thế này thì các bạn nên cân nhắc trước khi mua nhé,quality,1,2,1.0,2,1.0,2,1.0
2,"Cảm ứng tạm được, đèn vàng đọc đêm đỡ mỏi mắt, mình thích màn hình to nên thích bản 5 này hơn 4. Cover đi kèm đẹp",quality,5,2,5.0,2,5.0,2,5.0
25,"giao nhanh, dong goi ki, chua dung nen chua biet ro hieu qua.Gia thanh hop ly.",ship,5,"3,4",5.0,"3,4",5.0,"3,4",5.0
20,Đã từng mua. Shop vẫn đỉnh như lúc đầu. Cảm ơn shop nhiều lắm,quality,5,2,5.0,2,5.0,2,5.0
0,Một cuốn sách rất hay về cách não bộ hoạt động để học tập hiệu quả hơn!!,quality,5,2,5.0,2,5.0,2,5.0
13,"Màn rất đẹp, hợp giá tiền nhưng thiết kế hơi xấu, nhất là phần chân đế.","quality, price",5,2,3.0,2,4.0,2,4.0
18,Tiền ship gâp 3 lan tiền sp.,"ship, price",1,4,1.0,4,1.0,4,1.0
25,"Sp sử dụng tốt, phù hợp gia đinh Tiki giao hàng nhanh, chèn lót cẩn thận, sẽ ủng hộ Tiki thêm","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
18,"mẫu mã đẹp, giao đúng dự kiến, ? ủa hàng này của trung quốc à!?!","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
13,"Shop giao hàng nhanh chóng, xuất hd vat ngay sau khi nhận hàng, hàng thì phải dùng thử mới đánh giá được nhưng cơ bản là hài lòng","ship, quality, price",5,4,5.0,4,5.0,4,5.0
8,"Áo đẹp, vừa vặn. Mình 1m50, 42kg, sz S vừa nhé",quality,5,2,5.0,2,5.0,2,5.0
0,"giao hàng sớm, bìa sách nhìn hơi nhạt màu, chắc do lâu. chữ in rõ.",ship,4,"2,4",4.0,"2,4",4.0,"2,4",4.0
17,"sản phẩm tốt, giá rẻ, sẽ ủng hộ tiếp","quality, price",5,"2,3",5.0,"2,3",5.0,"2,3",5.0
10,"Cố định tốt, đọ dính cao và dễ điều chỉnh",quality,5,2,5.0,2,5.0,2,5.0
2,"Máy gọn nhẹ dễ thao tác, có điều hơi lag không biết các máy khác có vậy không hay là do mình sử dụng điện thoại quen.",quality,4,2,4.0,2,4.0,2,4.0
8,"Chất đẹp, mát, mặc vừa vặn",quality,5,2,5.0,2,5.0,2,5.0
2,"- Nhà bán giao hàng nhanh chóng, Từ hà nội đến TP.HCM chỉ mất thời gian 3 ngày. -Sản phẩm đúng như quảng cáo . Hàng mới.","ship, quality",5,"2,4",5.0,4,5.0,"2,4",5.0
6,"giấy thấm cũng xài được, không ưng bằng mấy loại khác",quality,1,2,3.0,2,3.0,2,3.0
9,hàng tốt ạ. thank shop nhé.,quality,5,2,5.0,2,5.0,2,5.0
25,"Giao nhanh, đóng gói kỹ, sản phẩm giặt không có bọt",ship,4,"2,4",3.0,"2,4",4.0,"2,4",4.0
6,"Sp chính hãng, giao hàng nhanh, đóng gói cẩn thận. Great!!",ship,5,"2,4",5.0,"2,4",5.0,"2,4",5.0
20,"Sản phẩm tạm ổn,còn về bền hay ko thì phải chờ tg.",quality,4,2,4.0,2,4.0,2,4.0
14,Nhìn ok đẹp đi êm,quality,4,2,5.0,2,5.0,2,5.0
7,"Đóng gói quá không đạt yêu cầu, chưa mở ra đã thấy sản phẩm bị rách. Tôi chọn sản phẩm này dù giá cao hơn các sản phẩm khác cùng loại, vì hy vọng tiền nào của đó, nhưng quá thất vọng. Tôi đề nghị Tiki tiến hành trả hoặc đổi sản phẩm đạt chất lượng. Thu gọn","ship, quality, price",1,"3,4",1.0,"2,3,4",1.0,"3,4",1.0
20,"Sản phẩm đúng nhu cầu, giao hàng nhanh",ship,5,"2,4",5.0,"2,4",5.0,"2,4",5.0
13,"màn 4k bao đẹp, gắn với giá đỡ màn hình màu trắng nữa là đúng bài, hàng nguyên seal chính hãng, k gì để chê","quality, price",5,2,5.0,2,5.0,2,5.0
25,Giá hơi cao,price,4,3,3.0,3,2.0,3,2.0
21,"Ổn với chất lượng, bảo vệ vali đáng mua",quality,4,2,5.0,2,5.0,2,5.0
3,"giao hàng nhanh, đóng gói kỹ .",ship,4,4,5.0,4,5.0,4,5.0
13,"Sản phẩm sử dụng tầm 20p thì rất nóng, dễ hư hỏng quá",quality,3,2,2.0,2,1.0,2,1.0
6,Giao hàng nhanh. Hàng chuẩn. Thanks,ship,5,"2,4",5.0,"2,4",5.0,"2,4",5.0
13,Dùng tốt cho máy macbook và dây chuyển đổi hdmi về usbc hỗ trợ tần số 60Hz. Có loa ngoài nữa thì perfect,"quality, cskh",5,2,4.0,2,4.0,2,4.0
6,Giấy thấm dầu tốt,quality,5,2,5.0,2,5.0,2,5.0
12,"+ Câu chuyện về cuộc đời của đại minh tinh Evelyn Hugo, 7 cuộc hôn nhân của bà và người mà bà thực sự yêu + Cốt truyện hay, xây dựng tình huống lôi cuốn, bất ngờ + Xây dựng các nhân vật đều có nhân cách không hoàn hảo, mỗi nhân vật đều có những điểm xấu riêng, thậm chí có phần lệch lạc so với chuẩn mực xã hội + Lời văn và từ vựng tiếng Anh đơn giản, sử dụng nhiều idiom, dễ đọc Đánh giá: 9.25-/10 Thu gọn","quality, price",5,2,5.0,2,5.0,2,5.0
7,"(*) Đánh giá không tính điểm Trong đơn hàng 209235910 tôi đặt 02 chai, tôi đã thanh toán đủ cho người giao hàng. Khi mở hộp đựng ra chỉ có 01 chai?! Đề nghị TIKI giải quyết!","ship, price",1,"1,4",1.0,4,1.0,"1,4",1.0
5,Rất hài lòng với sản phẩm nhận được. Săn sale giá rẻ lại được tặng quà,"quality, price",5,"2,3",5.0,"2,3",5.0,"2,3",5.0
13,Màu sắc hiển thị đẹp. Sắc nét,quality,5,2,5.0,2,5.0,2,5.0
14,"Giày xấu, không đúng như mô tả",quality,1,2,1.0,2,1.0,2,1.0
20,"Giao đủ hàng, vừa tay nên rất ưng ý, cảm thấy thích nên cho shop 5 sao nhé",ship,5,"2,4",5.0,"2,4",5.0,"2,4",5.0
13,Hàng chất lượng tốt,quality,5,2,5.0,"1,2,3,4",5.0,2,5.0
4,"Vận chuyển nhanh , loa đẹp , bật lên hiện ngay trên điện thoại ngay , rất nhanh . Nhưng , Mình không thích cái nó không có Type-C nó là chấu sạc của ngày xưa ý , không đc cái đó thôi , nhưng mà giá rẻ. Xem thêm","ship, quality, price",5,"2,3,4",4.0,"2,3,4",4.0,"2,3,4",4.0
15,"Cứng cáp, nặng hơn cả tivi. Đầy đủ phụ kiện, dễ thiết kế pass vừa tivi. Tắc kê 7cm yên tâm không thủng tường 10cm. Nhược điểm: góc nghiêng lên xuống quá ít",quality,4,2,4.0,2,4.0,2,4.0
3,giao hàng nhanh sẽ ủng hộ dài dài. sảm phẩm chất lượng cảm ơn shop,"ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
17,"Sản phẩm tốt, đóng gói cẩn thận. Ủng hộ shop sẽ mua tiếp lần sau","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
4,"Sản phẩm tốt. Có điều nút âm lượng phải bấm hai bên nút mới được, bấm chính giữa không được. Nhưng k sao đâu mn ạ. Cái này nghe đc FM nữa nha.",quality,4,2,4.0,2,4.0,2,4.0
15,"Hàng rất chắc chắn, thiết kế rất tiện lợi.",quality,5,2,5.0,2,5.0,2,5.0
16,"Giày da bò màu vàng đi mềm êm, giá ok. Thank you!",price,5,"2,3",5.0,"2,3",5.0,"2,3",5.0
20,Trầm thơm. Vòng nhẹ và đẹp. Mang vào cảm giác rất an lành,"quality, price",5,2,5.0,2,5.0,2,5.0
7,nhân viên phục vụ tận tình giao xe cẩn thận. rất đáng tiền mua trên tiki,"ship, price, cskh",5,"1,2,4",5.0,"1,2,3,4",5.0,"1,2,4",5.0
19,Bình thường,quality,4,"1,2,3,4",3.0,"1,2,3,4",3.0,"1,2,3,4",3.0
14,"Dép trông đẹp, chắc chắn, quai rộng vừa phải. Đây là đôi thứ 3 tôi mua giày dép từ Biggen. Hi vọng bền.",quality,5,2,5.0,2,5.0,2,5.0
14,"hàng đúng như quảng cáo, nhẹ và đẹp, shop tặng thêm dây cột tóc dễ thương.",quality,5,2,5.0,"1,2",5.0,2,5.0
16,giày đẹp nhưng mình mặc hơi chật,quality,5,2,4.0,2,5.0,2,5.0
0,"Mua sách vì bìa đẹp mà nhận lại bị móp nhẹ góc. Tiki đóng gói hơi thiếu cẩn thận đó. 5 quyển thì 2 qu bị móp vs rách gáy sách Nói về nội dung thì sách đọc rất cuốn nha. Đây là cuốn đầu tiên mình đọc của tác giả này. Trước có đọc qua review thì tưởng kiểu trinh thám ly kì giật gân nhg quyển này đọc rất nhẹ nhàng, có yếu tố kì bí nhg cách viết của tác giả gần gũi, mạch truyện đan xen hiện tại quá khứ và tương lai, đi từ bất ngờ này tới bất ngờ khác. Thú vị lắm. Đúg như cái tên sách, điều kì diệu Thu gọn","ship, quality",4,"2,4",5.0,"2,4",4.0,"2,4",4.0
15,Đẹp và chắc chắc và linh hoạt khi xoay chuỷen hướng theo ý thích,quality,5,2,5.0,2,5.0,2,5.0
2,"Đóng gói cẩn thận, sạc siêu nhanh",ship,5,4,5.0,"2,4",5.0,4,5.0
5,"giá phù hợp, tốt","quality, price",4,3,5.0,"1,2,3,4",5.0,3,5.0
9,"Giao nhanh, thùng không móp méo, hộp cũng vậy. Thoải mái nha anh em.","ship, quality",5,4,5.0,4,5.0,4,5.0
11,"áo mỏng thoáng khí, giao rất nhanh,chất lượng khá tốt","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
2,"Máy ổn trong tầm giá, nguyên seal, bao gói kỹ",price,5,"2,3,4",5.0,"2,3,4",5.0,"2,3,4",5.0
4,Hàng đẹp cầm rất chắc tay. Trên cả sự mong đợi,quality,5,2,5.0,2,5.0,2,5.0
14,"ngỡ 41 một cỡ ai ngờ phụ thân mang vào hơi rộng , nhưng cũg cảm on shop ?",quality,5,2,4.0,2,3.0,2,3.0
16,shop giao hàng như hình. Mang thử êm chân.,"ship, quality",5,2,5.0,"2,4",5.0,2,5.0
14,"shop giao đúng kích thước, giày đẹp giống hình, gói chắc","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
10,"Tuyệt vời, đơn giản và ngắn gọn, mình chưa chụp hình, sử dụng tốt giống như hình",quality,5,2,5.0,2,5.0,2,5.0
20,Hàng chất lượng. Đúng sản phẩm,quality,5,2,5.0,2,5.0,2,5.0
11,sp tốt áo dày mà chữ in như thế hum bt giặt có bị bay chữ ko nữa,quality,5,2,4.0,2,4.0,2,4.0
5,"Giáo nhanh, đồ nấu 1 lúc là nhừ",price,5,4,5.0,"2,4",5.0,4,5.0
10,"Vải mát, mặc thoải mái, form đẹp Shop tư vấn nhiệt tình","quality, cskh",5,"1,2",5.0,"1,2",5.0,"1,2",5.0
21,áo chất lượng sản phẩm rất tốt nhà bán hàng nên xản xuất và cho ra đời nhiều sản phẩm chất lượng như vậy.tôi và bạn bè sd rất tốt sẽ giới thiệu thêm.,quality,5,2,5.0,2,5.0,2,5.0
21,TỆ HAI. GIAO SAI HÀNG . GIAO TÚI CHỐNG SỐC RẺ TIỀN. QUÁ TỆ. SHOP KHUYẾN MÃI ẢO CÂU SỐ LƯỢNG ĐƠN .,"ship, price",1,"2,4",1.0,"1,2,4",1.0,"2,4",1.0
2,"Dùng được 3 ngày, hài lòng với Kindle phiên bản mới",quality,5,2,5.0,2,5.0,2,5.0
17,Giá quá ok..ok nhất tiki,price,5,3,5.0,3,5.0,3,5.0
12,Rất hay & ý nghĩa,quality,5,2,5.0,2,5.0,2,5.0
7,Dịch vụ ok nhe.,cskh,5,1,5.0,1,5.0,1,5.0
19,Shop giao nhanh nhân viên tư vấn nhiệt tình. Sẽ ủng hộ tiếp tục khi dùng gas hết.,"ship, quality, cskh",5,"1,4",5.0,"1,4",5.0,"1,4",5.0
14,dép đẹp giao nhanh đúng size,"ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
5,"Lần đầu mua đồ trên tiki thấy rất okk, hàng giao về không móp méo đóng gói rất chất lượng, sản phẩm cắm điện thử hoạt động bình thường, mai thử nấu đồ ăn coi ra sao, mong là sản phẩm bền bỉ. Sẽ ủng hộ tiki lâu dài Thu gọn","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
23,Nhận hàng đúng mẫu mã. đúng sản phẩm.Túi vừa để đi làm ko quá to cũng ko quá nhỏ nói chung là cực kỳ hài lòng,"ship, quality",5,2,5.0,2,5.0,2,5.0
21,sản phẩm okie như hình. tuy nhiên k có dây đeo cặp,quality,4,2,4.0,2,4.0,2,4.0
5,"Nồi chính hãng, rộng, dễ vệ sinh, sạch sẽ đẹp, 3 người cũng đủ dùng",quality,5,2,5.0,2,5.0,2,5.0
17,"Sản phẩm xài tốt, nhanh lưu hình vào máy tính từ camera",quality,5,2,5.0,2,5.0,2,5.0
14,"Sp đúng như hình quảng cáo,nhìn chung rất hài lòng tuy nhiên cần trải nghiệm mới đánh giá thực chất được","quality, price",5,2,4.0,2,4.0,2,4.0
13,mọi thứ đều tốt trên mong đợi,quality,5,"1,2,3,4,5",5.0,"1,2,3,4",5.0,"1,2,3,4,5",5.0
15,"Đã nhận hàng, nhìn đẹp, chưa lắp đặt lên chưa có đánh giá về chất lương, giao hàng đúng hẹn","ship, quality, price",4,"2,4",5.0,"2,4",4.0,"2,4",4.0
4,Đài nghe oki như hình giao hàng nhanh,"ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
20,"chắc chắn, tốy",quality,5,"1,2,3,4",5.0,"1,2,3,4",5.0,"1,2,3,4",5.0
4,Âm thanh ở mức ổn và tốt nếu sử dụng tại vị trí không quá ồn Giao hàng trước hạn và đóng gói cẩn thận Trước mình cũng dùng tai nghe loại này nên mỉnh chọn mua lại cùng loại,"ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
